id,n_hist,n_online,has_break,tau_index,tau_frac,hist_mean,hist_std,hist_skew,hist_kurt,hist_acf1,pre_mean,post_mean,pre_std,post_std,pre_acf1,post_acf1,mean_shift,std_ratio,ks_stat
0,1192,416,True,72,0.17307692307692307,-1.6001247e-09,1.0004197,0.015222741,0.8441732,-0.015870044007897377,0.012593396939337254,-0.03667031228542328,1.1324434280395508,1.2410035133361816,0.0735631138086319,-0.04088398069143295,-0.04926370829343796,1.0958635807037354,0.09851421188630491
1,1339,34,False,-1,,-1.139566e-08,1.0003736,0.023602601,-0.25899863,0.4219071865081787,,,,,,,,,
2,2745,837,False,-1,,-1.9108228e-09,1.0001822,0.021076396,0.06776714,-0.09404521435499191,,,,,,,,,
3,4326,433,False,-1,,-1.2124847e-09,1.0001156,0.015000773,-0.13735771,0.5822670459747314,,,,,,,,,
4,3300,909,False,-1,,2.889922e-09,1.0001515,0.12196764,-0.011762619,0.3504848778247833,,,,,,,,,
5,4709,294,True,114,0.3877551020408163,0.0,1.0001062,0.00401009,0.41039062,-0.03396047279238701,0.23161180317401886,0.052982669323682785,0.9996151924133301,0.9555213451385498,0.0998057872056961,0.057430412620306015,-0.17862913012504578,0.9558891654014587,0.12543859649122807
6,3856,986,True,256,0.25963488843813387,-2.2258997e-09,1.0001297,0.030470796,0.39099026,-0.19682815670967102,-0.02636341005563736,-0.03279086947441101,0.91451096534729,0.9823928475379944,-0.31977492570877075,-0.15341471135616302,-0.006427459418773651,1.0742275714874268,0.06485445205479452
7,1433,938,False,-1,,-1.3310179e-09,1.000349,0.49030712,4.1769266,-0.004641239531338215,,,,,,,,,
8,1781,91,False,-1,,5.354713e-10,1.0002809,0.0621509,0.029841185,0.4483473002910614,,,,,,,,,
9,3592,811,True,106,0.13070283600493218,-1.5929972e-09,1.0001392,0.07653416,0.15411592,-0.3116767406463623,-0.028096968308091164,0.09628865122795105,1.0550888776779175,1.056491732597351,-0.4148344099521637,-0.34824416041374207,0.12438561767339706,1.0013296604156494,0.06543556804496187
10,3487,38,False,-1,,1.0939768e-09,1.0001434,-0.011504081,-0.034777403,0.0014629068318754435,,,,,,,,,
11,3877,927,True,688,0.7421790722761596,0.0,1.000129,0.008290842,0.059932232,0.07499615103006363,-0.057149045169353485,-0.055457450449466705,0.9492824673652649,0.9773966670036316,0.09220781922340393,0.041901297867298126,0.0016915947198867798,1.0296162366867065,0.05127955629074633
